v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,S2
127,14,44,77,83,56,94,73,34,97,53,104,4,107,103,46,24190
127,34,83,4,44,53,94,103,14,97,56,107,77,104,73,46,24190
23,123,44,84,136,24,67,33,21,89,108,68,72,32,81,109,24650
23,21,136,72,44,108,67,81,123,89,24,32,84,68,33,109,24650
24,136,33,67,123,23,84,44,32,72,109,81,89,21,68,108,24650
24,32,123,89,33,109,84,68,136,72,23,21,67,81,44,108,24650
67,33,136,24,44,84,23,123,81,109,72,32,108,68,21,89,24650
67,81,44,108,136,72,23,21,33,109,84,68,24,32,123,89,24650
72,32,81,109,21,89,108,68,136,24,67,33,23,123,44,84,24650
72,136,21,23,81,67,108,44,32,24,89,123,109,33,68,84,24650
84,44,123,23,33,67,24,136,68,108,89,21,109,81,32,72,24650
84,68,33,109,123,89,24,32,44,108,67,81,23,21,136,72,24650
89,21,68,108,32,72,109,81,123,23,84,44,24,136,33,67,24650
89,123,32,24,68,84,109,33,21,23,72,136,108,44,81,67,24650
108,68,21,89,81,109,72,32,44,84,23,123,67,33,136,24,24650
108,44,81,67,21,23,72,136,68,84,109,33,89,123,32,24,24650
109,81,32,72,68,108,89,21,33,67,24,136,84,44,123,23,24650
109,33,68,84,32,24,89,123,81,67,108,44,72,136,21,23,24650
4,9,77,137,53,133,61,24,143,28,51,31,39,79,112,67,24795
4,143,53,39,77,51,61,112,9,28,133,79,137,31,24,67,24795
28,143,31,51,79,39,67,112,9,4,137,77,133,53,24,61,24795
28,9,79,133,31,137,67,24,143,4,39,53,51,77,112,61,24795
39,79,112,67,143,28,51,31,53,133,61,24,4,9,77,137,24795
39,53,143,4,112,61,51,77,79,133,28,9,67,24,31,137,24795
51,31,143,28,112,67,39,79,77,137,4,9,61,24,53,133,24795
51,77,112,61,143,4,39,53,31,137,67,24,28,9,79,133,24795
61,24,53,133,77,137,4,9,112,67,39,79,51,31,143,28,24795
61,112,77,51,53,39,4,143,24,67,137,31,133,79,9,28,24795
67,112,79,39,31,51,28,143,24,61,133,53,137,77,9,4,24795
67,24,31,137,79,133,28,9,112,61,51,77,39,53,143,4,24795
133,53,24,61,9,4,137,77,79,39,67,112,28,143,31,51,24795
133,79,9,28,24,67,137,31,53,39,4,143,61,112,77,51,24795
137,77,9,4,24,61,133,53,31,51,28,143,67,112,79,39,24795
137,31,24,67,9,28,133,79,77,51,61,112,4,143,53,39,24795
14,111,108,38,42,92,49,114,79,66,102,68,132,22,34,81,25625
14,79,42,132,108,102,49,34,111,66,92,22,38,68,114,81,25625
38,108,111,14,114,49,92,42,68,102,66,79,81,34,22,132,25625
38,68,114,81,111,66,92,22,108,102,49,34,14,79,42,132,25625
